ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,volatility,next2_pct,next_pct,period_guess
000070.SZ,20250828,11.15,12.14,11.15,12.14,11.04,1.1,9.9638,1595569.33,1893658.652,8.154859967051072,10.0423,10.0191,尾盘
000070.SZ,20250912,10.68,11.53,10.65,11.53,10.48,1.05,10.0191,652993.08,738274.062,7.632263660017339,10.0,10.0423,尾盘
000070.SZ,20251023,10.0,10.41,9.83,10.41,9.46,0.95,10.0423,508221.54,521858.64,5.571565802113353,10.0478,10.0,尾盘
000070.SZ,20251121,9.28,10.45,9.28,10.45,9.5,0.95,10.0,761875.21,782817.189,11.196172248803828,10.0,10.0478,尾盘
000070.SZ,20251124,11.0,11.5,10.58,11.5,10.45,1.05,10.0478,1603825.52,1797725.938,7.999999999999999,10.0395,10.0,尾盘
000070.SZ,20251125,12.1,12.65,12.02,12.65,11.5,1.15,10.0,691175.42,859743.383,4.9802371541502035,10.023,10.0395,尾盘
000070.SZ,20251126,13.65,13.92,12.87,13.92,12.65,1.27,10.0395,2296269.93,3122149.775,7.543103448275867,10.0,10.023,尾盘
000070.SZ,20251205,13.08,14.38,12.73,14.38,13.07,1.31,10.023,1699259.56,2315383.377,11.474269819193326,10.034,10.0,尾盘
000070.SZ,20251210,13.66,14.85,13.58,14.85,13.5,1.35,10.0,2173878.4,3071026.381,8.55218855218855,10.0081,10.034,尾盘
000070.SZ,20251222,12.4,12.94,12.35,12.94,11.76,1.18,10.034,947167.47,1213595.596,4.559505409582688,10.0341,10.0081,尾盘
000070.SZ,20260204,13.21,13.52,13.21,13.52,12.29,1.23,10.0081,503972.51,680426.151,2.2928994082840144,9.9876,10.0341,尾盘
000070.SZ,20260210,15.5,16.12,15.32,16.12,14.65,1.47,10.0341,388899.87,619876.038,4.962779156327548,9.9831,9.9876,尾盘
000070.SZ,20260211,17.73,17.73,17.73,17.73,16.12,1.61,9.9876,102249.23,181287.885,0.0,10.0168,9.9831,早盘
000070.SZ,20260212,19.5,19.5,18.5,19.5,17.73,1.77,9.9831,1741082.89,3335788.054,5.128205128205128,9.9861,10.0168,尾盘
000070.SZ,20260302,17.87,19.66,17.87,19.66,17.87,1.79,10.0168,490239.58,948367.182,9.104781281790434,10.0124,9.9861,尾盘
000070.SZ,20260325,14.95,15.86,14.94,15.86,14.42,1.44,9.9861,406961.66,634823.819,5.800756620428752,10.0105,10.0124,尾盘
000070.SZ,20260331,16.05,17.8,15.45,17.8,16.18,1.62,10.0124,1575522.71,2662710.052,13.202247191011244,10.0106,10.0105,尾盘
000070.SZ,20260409,18.67,20.88,18.1,20.88,18.98,1.9,10.0105,1862158.69,3590593.321,13.314176245210717,,10.0106,尾盘
000078.SZ,20250702,2.59,2.72,2.57,2.72,2.47,0.25,10.1215,1323928.6,357320.437,5.514705882352954,9.9644,10.1961,尾盘
000078.SZ,20251126,2.55,2.81,2.54,2.81,2.55,0.26,10.1961,932475.97,257193.419,9.608540925266905,10.0324,9.9644,尾盘
000078.SZ,20251127,2.96,3.09,2.88,3.09,2.81,0.28,9.9644,4112301.84,1245485.781,6.796116504854369,10.0,10.0324,尾盘
000078.SZ,20251128,3.05,3.4,2.98,3.4,3.09,0.31,10.0324,4106664.52,1332549.916,12.352941176470585,9.9757,10.0,尾盘
000078.SZ,20251201,3.4,3.74,3.3,3.74,3.4,0.34,10.0,5342769.61,1898650.376,11.764705882352951,9.9792,9.9757,尾盘
000078.SZ,20251203,4.2,4.52,4.18,4.52,4.11,0.41,9.9757,1825422.74,803241.088,7.522123893805308,9.973,9.9792,尾盘
000078.SZ,20251205,4.82,5.29,4.82,5.29,4.81,0.48,9.9792,5975026.86,3099607.704,8.884688090737235,10.049,9.973,尾盘
000078.SZ,20260113,3.73,4.08,3.63,4.08,3.71,0.37,9.973,2790030.68,1087836.27,11.029411764705886,9.9476,10.049,尾盘
000078.SZ,20260114,4.15,4.49,4.09,4.49,4.08,0.41,10.049,7072311.77,3014638.393,8.908685968819606,10.0287,9.9476,尾盘
000078.SZ,20260126,3.86,4.2,3.74,4.2,3.82,0.38,9.9476,2840819.32,1120449.91,10.95238095238095,,10.0287,尾盘
000096.SZ,20260302,11.7,12.06,11.28,12.06,10.96,1.1,10.0365,438993.81,512104.33,6.467661691542298,,10.0332,尾盘
000153.SZ,20250701,6.16,6.79,6.14,6.79,6.17,0.62,10.0486,535252.38,356874.486,9.57290132547865,,9.9711,尾盘
000155.SZ,20251029,11.15,12.2,11.13,12.2,11.09,1.11,10.009,785857.77,921463.241,8.770491803278677,9.9806,10.0068,尾盘
000155.SZ,20260327,14.52,16.16,14.43,16.16,14.69,1.47,10.0068,1066396.9,1650010.325,10.705445544554458,,9.9806,尾盘
000158.SZ,20250506,23.52,24.82,23.11,24.82,22.56,2.26,10.0177,2597345.99,6247857.317,6.889605157131349,9.9821,10.0227,尾盘
000158.SZ,20250717,22.05,24.26,21.88,24.26,22.05,2.21,10.0227,2498791.71,5915090.674,9.810387469084922,,9.9821,尾盘
000159.SZ,20250619,5.88,6.47,5.77,6.47,5.88,0.59,10.034,831699.6,521119.772,10.819165378670792,10.0147,10.0173,尾盘
000159.SZ,20260108,5.8,6.37,5.77,6.37,5.79,0.58,10.0173,304926.5,189548.832,9.419152276295142,,10.0147,尾盘
000400.SZ,20250721,22.87,23.91,22.71,23.91,21.74,2.17,9.9816,1300382.49,3051543.73,5.018820577164363,,10.017,尾盘
000402.SZ,20260413,2.78,3.06,2.76,3.06,2.78,0.28,10.0719,1466659.25,437293.647,9.803921568627459,10.0694,9.9237,尾盘
000402.SZ,20260429,2.88,2.88,2.88,2.88,2.62,0.26,9.9237,236647.72,68154.543,0.0,,10.0694,早盘
000407.SZ,20250902,3.7,4.07,3.62,4.07,3.7,0.37,10.0,1407244.16,550172.21,11.056511056511061,10.0962,10.0529,尾盘
000407.SZ,20251111,4.16,4.16,4.16,4.16,3.78,0.38,10.0529,88110.84,36654.109,0.0,10.0437,10.0962,早盘
000407.SZ,20251112,4.58,4.58,4.58,4.58,4.16,0.42,10.0962,46300.15,21205.469,0.0,9.9206,10.0437,早盘
